,value
a1,0.030401618929016192
a2,0.029726027397260275
a3,0.026514947027464725
a4,0.0
a5,0.04971189388997611
a6,0.1849526630348549
a7,0.0
a8,0.0
a9,0.0
a10,0.0
a11,0.0
a12,0.017632954130018755
a13,0.005405146918176099
a14,0.045859796596097964
a15,0.0
a16,0.0
a17,0.0
a18,0.06385029354207444
a19,0.0
a20,0.0
a21,0.0
a22,0.03703957382039573
a23,0.025479452054794512
a24,0.0
a25,0.01877433309300648
a26,0.04540586620217288
a27,0.025479452054794512
a28,0.0
a29,0.0
a30,0.05459882583170254
a31,0.0
a32,0.0
a33,0.01769406392694063
a34,0.08995407620193571
a35,0.0
a36,0.0
a37,0.0
a38,0.01760531627088074
a39,0.09904404818138875
a40,0.0
a41,0.04323785803237855
a42,0.050398916152340795
a43,0.021232876712328767
a44,0.0
