,value
a1,0.031288392838525
a2,-0.014386332348819548
a3,-0.0006077883828242398
a4,-7.013694081852578e-05
a5,0.013760558664054606
a6,-0.008774947792489352
a7,-0.014961739361405251
a8,0.004179481105478703
a9,0.00029543480383902943
a10,-0.06144747797657015
a11,0.016919176991807183
a12,0.023413521885026763
a13,0.036205975379967933
a14,-0.03459620073283648
a15,-0.01721070007036549
a16,0.04736824353148723
a17,-0.028918148528112583
a18,0.040915951543710034
a19,-0.019015296952127246
a20,0.028938427032879778
a21,-0.005232943801733076
a22,-0.0022899697527347654
a23,0.03477849944343727
a24,0.014997023798849617
a25,-0.04620108984775746
a26,-0.030491047240785538
a27,0.047128805426981196
28,-0.02076978968750798
a29,-0.014015004869243852
a30,0.001405972420535282
a31,0.04657646986552418
a32,-0.05346360604596831
a33,-0.028690798479020965
a34,0.028970321514520524
a35,0.055721263564071845
a36,-0.01532501514267557
37,0.011890548608537332
a38,-0.009567503659781255
a39,-0.005156473263632853
a40,-0.03502869959943876
a41,0.002926434817072519
a42,-0.035168437259997826
a43,-0.024706548862296847
a44,0.02983682124897207
