,value
a1,0.013457405713634159
a2,0.023711158854633728
a3,0.015484571363418844
a4,0.025231336315139276
a5,0.025155314636755213
a6,0.03271218221439729
a7,0.011456546200277981
a8,0.017875294783829817
a9,0.01821380563711082
a10,0.017997577467515232
a11,0.01225386118292301
a12,0.01855953685657222
a13,0.01715520468639677
a14,0.022932314888928745
a15,0.014058363115998002
a16,0.027162934216733273
a17,0.009058508142457821
a18,0.014562269848358294
a19,0.01769124364474235
a20,0.013481541306223914
a21,0.007923901088841069
a22,0.022932730766977563
a23,0.01879963609882661
a24,0.02108754976760376
a25,0.021131542360548896
a26,0.0384801113974548
a27,0.019471722290715927
28,0.02063127206230397
a29,0.019417371626412196
a30,0.03820681328032075
a31,0.016522489611070293
a32,0.029423146787909513
a33,0.03039001763419906
a34,0.03203476627473225
a35,0.012205059022132798
a36,0.011862748526967632
37,0.012296938722571694
a38,0.01929017244083547
a39,0.0203924813319194
a40,0.07742159007909988
a41,0.03903016653706587
a42,0.03834035726741671
a43,0.030678825399628042
a44,0.0338176185483991
