,value
a0,0.12565053722124608
a1,0.08581084653414209
a2,0.0706899207011869
a3,0.15294076683263363
a4,0.07047487976980944
a5,0.06059573861758302
a6,0.05320674404925409
a7,0.0271725572074597
a8,0.01896651402397837
a9,0.10322224030015673
a10,0.03400041230984205
a11,0.024183931372949982
a12,0.020873323054008408
a13,0.03091372942532514
a14,0.0
a15,0.04015039695889344
a16,0.0084957628536166
a17,0.006519831718862523
a18,0.010341208660504059
a19,0.0034876280982199985
a20,0.01651111709378699
a21,0.00112175172749766
a22,0.014549802120426584
a23,0.020120359348616536
