,value
a0,0.11940181176690996
a1,0.07429183472392967
a2,0.06743915281291771
a3,0.01692518504664524
a4,0.04783782496554551
a5,0.028065569327296862
a6,0.02374178458805557
a7,0.0
a8,0.029706008555651885
a9,0.010790898831598172
a10,0.03233760834193789
a11,0.02179962597816958
a12,0.004017336104242486
a13,0.020007355793518287
a14,0.029827784147078693
a15,0.044825169901286814
a16,0.039430715234565546
a17,0.045802812947202516
a18,0.043424544114193234
a19,0.022947812658163338
a20,0.007917911688311177
a21,0.01353566160926542
a22,0.0031481847595748107
a23,0.0
