,value
a0,-0.19437207371550108
a1,0.0077410543352873715
a2,-0.1490834015152171
a3,0.01737286821887955
a4,-0.06278700815137424
a5,-0.06152884136383045
a6,-0.07040116986108443
a7,-0.013703707710069011
a8,0.08391628108793314
a9,-0.02672231475252923
a10,-0.07953920880219448
a11,0.07747886196594511
a12,0.0782916673936864
a13,-0.15082354887179442
a14,-0.47055253504378053
a15,0.3011154161026336
a16,-0.3733064418956656
a17,0.3764389921114591
a18,0.5328192814927514
a19,0.06372250064555748
a20,-0.05935992384342511
a21,-0.0064622722116619595
a22,0.051528487918984726
a23,0.04678529571582141
