,value
a0,0.10989399885122889
a1,0.10979048693996803
a2,0.06521909149942447
a3,0.1291197904276539
a4,0.050790341443294966
a5,0.057271923465247176
a6,0.0398840923851839
a7,0.04578618486782601
a8,0.05048542972487425
a9,0.11419259383905722
a10,0.028590903506595128
a11,0.024653176944691307
a12,0.016598597431170474
a13,0.02252255016514454
a14,0.0038902570319966213
a15,0.0250582136785146
a16,0.01148916478252949
a17,0.01483146856550631
a18,0.009497227983264878
a19,0.01284770073278921
a20,0.018931715381920323
a21,0.002834815492097831
a22,0.014190155647208524
a23,0.021630119212812014
