,value
a0,0.15089999999999992
a1,0.04801470588235294
a2,0.0710000000000001
a3,0.03473406593406593
a4,0.028300000000000006
a5,0.03940000000000006
a6,0.0379
a7,0.0337
a8,0.0406
a9,0.021223214285714297
a10,0.019399999999999962
a11,0.02189999999999999
a12,0.007100000000000001
a13,0.011499999999999995
a14,0.0033000000000000013
a15,0.017699999999999976
a16,0.010799999999999995
a17,0.0089
a18,-0.0002999999999999999
a19,0.00040000000000000143
a20,0.003800000000000002
a21,0.0006
a22,0.008700000000000006
a23,0.009899999999999987
