TP,FN,FP,TN,Accuracy,Precision,Recall,F1Score,Specificity,LRP,LRM,pop
133,167,87,613,0.746,0.6045454545454545,0.44333333333333336,0.5115384615384615,0.8757142857142857,3.567049808429118,0.6356715606307776,[1 1 0 1 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
122,178,101,599,0.721,0.547085201793722,0.4066666666666667,0.4665391969407266,0.8557142857142858,2.8184818481848195,0.6933778519755146,[1 1 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0]
147,153,82,618,0.765,0.6419213973799127,0.49,0.555765595463138,0.8828571428571429,4.182926829268294,0.5776699029126213,[1 1 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0]
140,160,84,616,0.756,0.625,0.4666666666666667,0.5343511450381679,0.88,3.8888888888888893,0.6060606060606061,[1 1 1 1 1 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0]
137,163,74,626,0.763,0.6492890995260664,0.45666666666666667,0.5362035225048924,0.8942857142857142,4.319819819819818,0.6075612353567625,[1 1 1 1 1 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0]
154,146,103,597,0.751,0.5992217898832685,0.5133333333333333,0.5529622980251346,0.8528571428571429,3.488673139158576,0.5706309324399776,[1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
144,156,81,619,0.763,0.64,0.48,0.5485714285714285,0.8842857142857142,4.148148148148146,0.5880452342487884,[1 1 1 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
141,159,97,603,0.744,0.592436974789916,0.47,0.5241635687732342,0.8614285714285714,3.3917525773195876,0.615257048092869,[1 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
136,164,83,617,0.753,0.6210045662100456,0.4533333333333333,0.5240847784200385,0.8814285714285715,3.8232931726907635,0.6202052944354403,[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
106,194,117,583,0.689,0.47533632286995514,0.35333333333333333,0.4053537284894837,0.8328571428571429,2.113960113960114,0.7764436821040596,[0 1 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0]
134,166,80,620,0.754,0.6261682242990654,0.44666666666666666,0.5214007782101167,0.8857142857142857,3.908333333333332,0.624731182795699,[1 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
139,161,102,598,0.737,0.5767634854771784,0.4633333333333333,0.5138632162661737,0.8542857142857143,3.179738562091504,0.6282051282051281,[1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
133,167,75,625,0.758,0.6394230769230769,0.44333333333333336,0.5236220472440944,0.8928571428571429,4.13777777777778,0.6234666666666666,[1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
120,180,89,611,0.731,0.5741626794258373,0.4,0.4715127701375246,0.8728571428571429,3.146067415730338,0.6873977086743044,[1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
122,178,94,606,0.728,0.5648148148148148,0.4066666666666667,0.4728682170542636,0.8657142857142858,3.0283687943262425,0.6853685368536853,[1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
133,167,103,597,0.73,0.5635593220338984,0.44333333333333336,0.4962686567164179,0.8528571428571429,3.0129449838187705,0.6527079843662758,[1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
147,153,83,617,0.764,0.6391304347826087,0.49,0.5547169811320756,0.8814285714285715,4.1325301204819285,0.5786061588330632,[1 1 1 1 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
138,162,117,583,0.721,0.5411764705882353,0.46,0.49729729729729727,0.8328571428571429,2.752136752136752,0.6483704974271013,[1 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
121,179,105,595,0.716,0.5353982300884956,0.4033333333333333,0.4600760456273764,0.85,2.688888888888888,0.7019607843137255,[0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
146,154,69,631,0.777,0.6790697674418604,0.4866666666666667,0.5669902912621358,0.9014285714285715,4.937198067632853,0.5694664553618595,[1 1 1 1 1 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0]
99,201,117,583,0.682,0.4583333333333333,0.33,0.38372093023255816,0.8328571428571429,1.9743589743589745,0.804459691252144,[0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
107,193,111,589,0.696,0.4908256880733945,0.3566666666666667,0.41312741312741313,0.8414285714285714,2.249249249249249,0.7645727221279004,[0 1 1 1 0 1 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1]
140,160,80,620,0.76,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.8857142857142857,4.083333333333332,0.6021505376344086,[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0]
49,251,62,638,0.687,0.44144144144144143,0.16333333333333333,0.2384428223844282,0.9114285714285715,1.8440860215053774,0.9179728317659351,[0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
148,152,98,602,0.75,0.6016260162601627,0.49333333333333335,0.5421245421245422,0.86,3.5238095238095237,0.5891472868217054,[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
138,162,79,621,0.759,0.6359447004608295,0.46,0.5338491295938105,0.8871428571428571,4.075949367088607,0.6086956521739131,[1 1 1 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
