TP,FN,FP,TN,Accuracy,Precision,Recall,F1Score,Specificity,LRP,LRM,pop
96,24,21,129,0.8333333333333334,0.8205128205128205,0.8,0.810126582278481,0.86,5.714285714285714,0.23255813953488366,[0 1 1 0 0 0 1 0 1 1 0 1 1]
57,63,24,126,0.6777777777777778,0.7037037037037037,0.475,0.5671641791044776,0.84,2.968749999999999,0.625,[0 1 1 0 0 0 1 1 0 1 0 1 0]
80,40,22,128,0.7703703703703704,0.7843137254901961,0.6666666666666666,0.7207207207207207,0.8533333333333334,4.545454545454547,0.390625,[0 0 1 0 0 0 0 0 1 0 0 0 1]
97,23,20,130,0.8407407407407408,0.8290598290598291,0.8083333333333333,0.818565400843882,0.8666666666666667,6.062500000000002,0.22115384615384612,[0 1 1 0 0 0 1 0 1 0 0 1 1]
96,24,21,129,0.8333333333333334,0.8205128205128205,0.8,0.810126582278481,0.86,5.714285714285714,0.23255813953488366,[0 1 1 0 0 0 1 0 1 0 1 1 1]
81,39,17,133,0.7925925925925926,0.826530612244898,0.675,0.743119266055046,0.8866666666666667,5.955882352941179,0.36654135338345856,[0 0 1 0 0 0 1 0 0 1 1 1 0]
92,28,30,120,0.7851851851851852,0.7540983606557377,0.7666666666666667,0.7603305785123967,0.8,3.8333333333333344,0.2916666666666666,[0 1 0 0 0 0 1 0 1 0 0 1 1]
94,26,22,128,0.8222222222222222,0.8103448275862069,0.7833333333333333,0.7966101694915254,0.8533333333333334,5.340909090909093,0.25390625,[0 0 1 0 0 0 1 0 1 0 0 1 1]
97,23,20,130,0.8407407407407408,0.8290598290598291,0.8083333333333333,0.818565400843882,0.8666666666666667,6.062500000000002,0.22115384615384612,[0 1 1 0 0 0 1 0 1 0 0 1 1]
93,27,33,117,0.7777777777777778,0.7380952380952381,0.775,0.7560975609756099,0.78,3.5227272727272734,0.28846153846153844,[0 1 0 0 0 0 1 0 0 0 0 1 1]
93,27,24,126,0.8111111111111111,0.7948717948717948,0.775,0.7848101265822786,0.84,4.843749999999999,0.26785714285714285,[0 1 1 0 0 0 0 0 1 0 0 1 1]
87,33,31,119,0.762962962962963,0.7372881355932204,0.725,0.73109243697479,0.7933333333333333,3.508064516129032,0.3466386554621849,[0 0 0 0 0 0 0 0 0 0 0 0 1]
87,33,31,119,0.762962962962963,0.7372881355932204,0.725,0.73109243697479,0.7933333333333333,3.508064516129032,0.3466386554621849,[0 0 0 0 0 0 0 0 0 0 0 0 1]
86,34,17,133,0.8111111111111111,0.8349514563106796,0.7166666666666667,0.7713004484304932,0.8866666666666667,6.323529411764708,0.3195488721804511,[0 0 1 0 0 0 0 0 0 1 0 1 0]
98,22,32,118,0.8,0.7538461538461538,0.8166666666666667,0.784,0.7866666666666666,3.828124999999999,0.23305084745762714,[0 1 0 0 0 0 0 0 1 1 0 1 1]
2,118,3,147,0.5518518518518518,0.4,0.016666666666666666,0.032,0.98,0.8333333333333326,1.0034013605442176,[0 0 1 1 0 0 0 0 1 0 1 1 1]
59,61,22,128,0.6925925925925925,0.7283950617283951,0.49166666666666664,0.5870646766169154,0.8533333333333334,3.3522727272727284,0.5957031249999999,[0 0 0 0 0 0 0 1 0 0 0 1 1]
81,39,24,126,0.7666666666666667,0.7714285714285715,0.675,0.72,0.84,4.218749999999999,0.38690476190476186,[0 0 1 0 0 0 0 0 0 0 0 0 1]
87,33,31,119,0.762962962962963,0.7372881355932204,0.725,0.73109243697479,0.7933333333333333,3.508064516129032,0.3466386554621849,[0 0 0 0 0 0 1 0 0 0 0 0 1]
81,39,30,120,0.7444444444444445,0.7297297297297297,0.675,0.7012987012987014,0.8,3.375000000000001,0.40624999999999994,[0 0 0 0 0 0 0 0 0 1 0 1 0]
70,50,28,122,0.7111111111111111,0.7142857142857143,0.5833333333333334,0.6422018348623854,0.8133333333333334,3.1250000000000004,0.5122950819672131,[0 0 1 0 0 0 0 0 0 0 0 1 0]
93,27,22,128,0.8185185185185185,0.808695652173913,0.775,0.7914893617021276,0.8533333333333334,5.284090909090911,0.26367187499999994,[0 0 1 0 0 0 0 0 1 1 0 1 1]
91,29,23,127,0.8074074074074075,0.7982456140350878,0.7583333333333333,0.7777777777777778,0.8466666666666667,4.945652173913044,0.2854330708661418,[0 1 1 0 0 0 1 0 0 0 0 1 1]
87,33,31,119,0.762962962962963,0.7372881355932204,0.725,0.73109243697479,0.7933333333333333,3.508064516129032,0.3466386554621849,[0 1 0 0 0 0 0 0 0 0 1 0 1]
93,27,22,128,0.8185185185185185,0.808695652173913,0.775,0.7914893617021276,0.8533333333333334,5.284090909090911,0.26367187499999994,[0 0 1 0 0 0 0 0 1 1 0 1 1]
84,36,11,139,0.825925925925926,0.8842105263157894,0.7,0.7813953488372093,0.9266666666666666,9.545454545454541,0.32374100719424465,[0 0 1 0 0 0 0 0 1 1 0 1 0]
90,30,24,126,0.8,0.7894736842105263,0.75,0.7692307692307692,0.84,4.687499999999999,0.2976190476190476,[0 0 1 0 0 0 0 0 0 0 0 1 1]
87,33,31,119,0.762962962962963,0.7372881355932204,0.725,0.73109243697479,0.7933333333333333,3.508064516129032,0.3466386554621849,[0 0 0 0 0 0 0 0 0 0 0 0 1]
93,27,33,117,0.7777777777777778,0.7380952380952381,0.775,0.7560975609756099,0.78,3.5227272727272734,0.28846153846153844,[0 0 0 0 0 0 0 0 0 1 0 0 1]
87,33,31,119,0.762962962962963,0.7372881355932204,0.725,0.73109243697479,0.7933333333333333,3.508064516129032,0.3466386554621849,[0 1 0 0 0 0 0 0 0 0 0 0 1]
84,36,11,139,0.825925925925926,0.8842105263157894,0.7,0.7813953488372093,0.9266666666666666,9.545454545454541,0.32374100719424465,[0 0 1 0 0 0 0 0 1 1 0 1 0]
90,30,24,126,0.8,0.7894736842105263,0.75,0.7692307692307692,0.84,4.687499999999999,0.2976190476190476,[0 0 1 0 0 0 0 0 0 1 0 1 1]
62,58,38,112,0.6444444444444445,0.62,0.5166666666666667,0.5636363636363637,0.7466666666666667,2.039473684210527,0.6473214285714285,[1 0 1 0 0 0 0 0 0 1 0 1 0]
76,44,28,122,0.7333333333333333,0.7307692307692307,0.6333333333333333,0.6785714285714285,0.8133333333333334,3.3928571428571432,0.45081967213114754,[0 0 1 0 0 0 0 0 1 1 0 0 0]
87,33,33,117,0.7555555555555555,0.725,0.725,0.7250000000000001,0.78,3.295454545454546,0.3525641025641026,[0 1 0 0 0 0 1 0 0 1 0 0 1]
86,34,17,133,0.8111111111111111,0.8349514563106796,0.7166666666666667,0.7713004484304932,0.8866666666666667,6.323529411764708,0.3195488721804511,[0 0 1 0 0 0 0 0 0 1 0 1 0]
93,27,25,125,0.8074074074074075,0.788135593220339,0.775,0.7815126050420169,0.8333333333333334,4.650000000000001,0.26999999999999996,[0 1 1 0 0 0 0 0 0 1 1 1 1]
86,34,17,133,0.8111111111111111,0.8349514563106796,0.7166666666666667,0.7713004484304932,0.8866666666666667,6.323529411764708,0.3195488721804511,[0 0 1 0 0 0 0 0 0 1 0 1 0]
90,30,24,126,0.8,0.7894736842105263,0.75,0.7692307692307692,0.84,4.687499999999999,0.2976190476190476,[0 0 1 0 0 0 0 0 0 0 0 1 1]
