TP,FN,FP,TN,Accuracy,Precision,Recall,F1Score,Specificity,LRP,LRM,pop
95,25,18,132,0.8407407407407408,0.8407079646017699,0.7916666666666666,0.815450643776824,0.88,6.597222222222222,0.23674242424242428,[0 0 1 0 0 0 0 0 0 0 0 1 1]
96,24,28,122,0.8074074074074075,0.7741935483870968,0.8,0.7868852459016393,0.8133333333333334,4.2857142857142865,0.24590163934426224,[0 1 0 0 0 1 0 0 0 0 0 1 1]
94,26,17,133,0.8407407407407408,0.8468468468468469,0.7833333333333333,0.8138528138528137,0.8866666666666667,6.911764705882356,0.24436090225563908,[0 0 1 0 0 0 0 0 0 0 0 1 1]
92,28,16,134,0.837037037037037,0.8518518518518519,0.7666666666666667,0.8070175438596491,0.8933333333333333,7.187499999999999,0.2611940298507462,[0 0 1 0 0 0 0 0 0 0 0 1 1]
92,28,31,119,0.7814814814814814,0.7479674796747967,0.7666666666666667,0.757201646090535,0.7933333333333333,3.709677419354839,0.2941176470588235,[0 0 0 0 0 0 0 0 0 0 0 1 1]
93,27,17,133,0.837037037037037,0.8454545454545455,0.775,0.808695652173913,0.8866666666666667,6.83823529411765,0.2537593984962406,[0 0 1 0 0 0 0 0 0 0 0 1 1]
91,29,18,132,0.825925925925926,0.8348623853211009,0.7583333333333333,0.7947598253275109,0.88,6.319444444444445,0.27462121212121215,[0 0 1 0 0 0 0 0 0 0 0 1 1]
93,27,16,134,0.8407407407407408,0.8532110091743119,0.775,0.812227074235808,0.8933333333333333,7.265624999999999,0.251865671641791,[0 0 1 0 0 0 0 0 0 0 0 1 1]
91,29,18,132,0.825925925925926,0.8348623853211009,0.7583333333333333,0.7947598253275109,0.88,6.319444444444445,0.27462121212121215,[0 0 1 0 0 0 0 0 0 0 0 1 1]
70,50,23,127,0.7296296296296296,0.7526881720430108,0.5833333333333334,0.6572769953051644,0.8466666666666667,3.804347826086957,0.49212598425196846,[0 0 1 0 0 0 0 0 0 0 0 0 1]
