,value
a0,0.0
a1,0.0
a2,0.0
a3,0.03791449696805755
a4,0.0
a5,0.019896232799458596
a6,0.03295943304007821
a7,0.03478770333609043
a8,0.0
a9,0.01483137829912024
a10,0.0
a11,0.0
a12,0.047762301028202246
a13,0.015380688606495045
a14,0.0038849333204172194
a15,0.0
a16,0.1753195061961971
a17,0.01170848267622461
a18,0.0
a19,0.14677785667590906
a20,0.02853942652329749
a21,0.01170848267622461
a22,0.0
a23,0.031465322016278253
a24,0.0
a25,0.0
a26,0.3763246442923862
a27,0.007184750733137831
a28,0.0
a29,0.0
a30,0.0
a31,0.0
a32,0.003554360812425333
a33,0.0
