,value
a0,72.625837009991
a1,0.5600000000194982
a2,41.26030774924621
a3,8.690517091063139
a4,31.51247147552943
a5,4.680531334196975
a6,33.92217974050943
a7,11.061327595943
a8,15.130346799637907
a9,1.4145200317295
a10,1.9092338995728464
a11,6.741299511491599
a12,3.8309816754408152
a13,7.15428964483745
a14,10.594264587279818
a15,5.185228375443085
a16,0.9801556363975598
a17,2.9712807665968257
a18,1.9075928104741866
a19,0.15266499219303908
a20,8.763010557198786
a21,2.6428260135330888
a22,5.226668376251564
a23,0.012532940180172302
a24,3.1199945391465955
a25,0.05335019417050809
a26,31.3250785882018
a27,0.9868955541929293
a28,9.459506153141602
a29,0.00028940542175463513
a30,17.740565260780805
a31,0.7595782705476042
a32,18.578554332027366
a33,1.663207805504771
