,value
a0,1.5348948998554475
a1,0.3068367161858064
a2,0.510426629193044
a3,0.034165583543747574
a4,0.6761088702833828
a5,0.7541344070322841
a6,0.31151233382495314
a7,0.6962645559399931
a8,0.7040960420175173
a9,-0.006103378421243076
a10,-0.5023125132597716
a11,-0.24680257725885277
a12,-0.2879887318191469
a13,0.33472497443118376
a14,0.6095934223710786
a15,-0.2941976532400598
a16,0.12049228385836751
a17,0.3050250755723018
a18,-0.6283107827235617
a19,-0.01735914784429069
a20,-0.004028697237875874
a21,-1.047921117012281
a22,0.6390788759968474
a23,0.3783518949633501
a24,0.3846239972779615
a25,0.3420746003438867
a26,-1.0556822730211994
a27,-0.12641330458567873
a28,0.3497527273448055
a29,0.6678471679090009
a30,0.29876937187663016
a31,-0.15942499622216189
a32,-0.22187605889541617
a33,-0.6195711849214479
