,value
a0,0.1097423708157288
a1,0.0
a2,0.25353757502264407
a3,0.19831041481594824
a4,0.2890498716342653
a5,0.30383167760876173
a6,0.23688678928939155
a7,0.2961401642995183
a8,0.19405396139221143
a9,0.18795153549420074
a10,0.1754528946500662
a11,0.16616942720404926
a12,0.22434823210418164
a13,0.23115169732421803
a14,0.26377852461933027
a15,0.23362185993743623
a16,0.1708793604882599
a17,0.1814162183995287
a18,0.1364230241664548
a19,0.17372223081073823
a20,0.2727827226347692
a21,0.19959355035497728
a22,0.23219775296632084
a23,0.20993071133595764
a24,0.17727875239811097
a25,0.19683618888886256
a26,0.2534674316495511
a27,0.1884714265241776
a28,0.24356491502434396
a29,0.1385658720477101
a30,0.2692094482344607
a31,0.20666111801855513
a32,0.2615396875882221
a33,0.2183036970519472
