,value
a0,0.0326565082251237
a1,8.19786995515695e-05
a2,0.09176131286732189
a3,0.02872500931593132
a4,0.12898646565612906
a5,0.028348831770896865
a6,0.11369657133337625
a7,0.049974820373412505
a8,0.018186675044047373
a9,0.014225469104944932
a10,0.007872951270672706
a11,0.026290901653363882
a12,0.014249366800134005
a13,0.03665882835272076
a14,0.008663564950947071
a15,0.018503647507443946
a16,0.010241029723698624
a17,0.027894523677341312
a18,0.007355667336535908
a19,0.011180094204695554
a20,0.011752541387557706
a21,0.028262019566338097
a22,0.0157935828339216
a23,0.014658541494054269
a24,0.009806024214738076
a25,0.01678318482831745
a26,0.09327902828479372
a27,0.031740208013241
a28,0.01988759605102652
a29,0.006285751602547795
a30,0.020863372698809397
a31,0.014891497275564347
a32,0.022581899171681692
a33,0.017860534709119073
