,value
a2,0.006411292495016432
a3,0.0
a4,0.0
a5,0.0
a6,0.0
a7,0.018678685792243067
a8,0.0
a9,0.014247316655592071
a10,0.0
a11,0.0
a12,0.015687391965977508
a13,0.03119488824416572
a14,0.0
a15,0.0
a16,0.0
a17,0.008073479438168841
a18,0.0
a19,0.0
a20,0.0
a21,0.0
a22,0.005698926662236829
a23,0.0438491264675199
a24,0.03842976212568368
a25,0.0
a26,0.0
a27,0.012157710212771903
a28,0.00201497764129088
a29,0.0009102452307739297
a30,0.0
a31,0.0
a32,0.0
a33,0.0
a34,0.012759917937440676
a35,0.0
a36,0.004559141329789462
a37,0.0
a38,0.0
a39,0.0
a40,0.0
a41,0.0
a42,0.0
a43,0.0
a44,0.07466150965474672
a45,0.0
a46,0.0
a47,0.0
a48,0.0
a49,0.0
a50,0.0
a51,0.0
a52,0.0
a53,0.0
a54,0.0
a55,0.0
a56,0.0
a57,0.0
a58,0.005698926662236829
a59,0.0467006373669045
a60,0.0
a61,0.0
a62,0.00796144068043123
a63,0.0
a64,0.0
a65,0.007978497327131562
a66,0.0
a67,0.007327191422875924
a68,0.0
a69,0.0
a70,0.0
a71,0.012285686109748454
a72,0.0
a73,0.0
a74,0.0
a75,0.015476478390931954
a76,0.0
a77,0.0
a78,0.014912191432853035
a79,0.0
a80,0.07422293259263248
a81,0.0
a82,0.005653697085552429
a83,0.0
a84,0.0
a85,0.02493280414728612
a86,0.0
a87,0.0
a88,0.03234111474593071
a89,0.0
a90,0.014664910419635281
a91,0.01502762240884199
a92,0.005698926662236829
a93,0.008289347872344472
a94,0.0
a95,0.0
a96,0.0
a97,0.0
a98,0.0
a99,0.001795161898604599
a100,0.0069378237627231035
a101,0.0
a102,0.011397853324473657
a103,0.0
a104,0.003989248663565781
a105,0.0
a106,0.0
a107,0.0
a108,0.0
a109,0.005479737175227721
a110,0.0
a111,0.0
a112,0.0
a113,0.0
a114,0.0
a115,0.0
a116,0.0
a117,0.0
a118,0.0
a119,0.0
a120,0.0
a121,0.004274194996677621
a122,0.0
a123,0.0
a124,0.0
a125,0.0
a126,0.0
a127,0.008297796537910376
a128,0.007355925506887197
a129,0.0
a130,0.0
a131,0.015277359143530147
a132,0.0075751886710347955
a133,0.020586865109478655
a134,0.020009847410041356
a135,0.005698926662236829
a136,0.0
a137,0.013056949133834938
a138,0.014473287609660119
a139,0.0
a140,0.02425298606376283
a141,0.0
a142,0.0
a143,0.0
a144,0.0
a145,0.054795423813221306
a146,0.0
a147,0.014909761412214714
a148,0.0
a149,0.0
a150,0.003205646247508216
a151,0.0
a152,0.0
a153,0.007801739173971282
a154,0.0
a155,0.0
a156,0.0
a157,0.0
a158,0.0
a159,0.018201330019902075
a160,0.0
a161,0.0
a162,0.0
a163,0.12937833951403802
a164,0.0
a165,0.012741830968503192
a166,0.0
a167,0.0
