,value
a2,1.5192205226848343
a3,7.83865135062555
a4,7.144884169678659
a5,2.820828137097116
a6,13.976727012208965
a7,15.494415206699564
a8,5.27438069118286
a9,4.028694682741232
a10,9.192808249631979
a11,1.8619118366207337
a12,0.21889700171660698
a13,0.23749771343786671
a14,4.165013702056647
a15,0.15096551737941036
a16,2.1319103406051676
a17,1.6643602656480703
a18,0.7021427658453974
a19,0.04670616943066173
a20,0.4910540948025393
a21,0.4789087749575084
a22,22.127820593303834
a23,8.124575364404212
a24,9.048791261094673
a25,0.2867733609976211
a26,0.2634265717518425
a27,17.44493045891951
a28,2.647267464824048
a29,0.43313085691901315
a30,4.620377890421975
a31,0.6139631716708877
a32,22.167927210744885
a33,3.345061130701585
a34,0.5246783064334024
a35,0.7724246243935596
a36,0.47623535050316224
a37,62.234237356021644
a38,22.36351041048924
a39,1.0823776469955715
a40,4.0603249248453706
a41,0.27527530038195214
a42,3.420127661878922
a43,8.434815326867014
a44,6.021831189096026
a45,0.7095931149650935
a46,0.08161768264374404
a47,1.5876423166450166
a48,1.8590606160356518
a49,13.024908276323263
a50,0.8131837134470362
a51,0.49582142466731516
a52,11.409606811334829
a53,3.9300527051602394
a54,4.605539501529437
a55,0.44688243467234573
a56,2.3104839795121594
a57,2.9907478978779634
a58,2.4157374154819986
a59,6.535292910590591
a60,17.585462161178057
a61,0.13102377223669923
a62,4.9450059179819945
a63,5.765997726206785
a64,6.693361860932065
a65,5.821605586508108
a66,3.8718448635949225
a67,3.46667758794527
a68,3.4273960200653435
a69,13.067407993192116
a70,6.534125806040243
a71,12.981750212921364
a72,3.874695268652955
a73,5.383250893819581
a74,2.6869598358291054
a75,0.0004483370936779293
a76,1.2601535464285079
a77,15.583037364825312
a78,5.4102585220324695
a79,1.1784981574396838
a80,0.21141002948280008
a81,0.07654157611140243
a82,8.703630993105042
a83,11.940509416553917
a84,21.641896638585585
a85,12.252904625131793
a86,0.7700938369554824
a87,13.402920872505526
a88,9.424478573129901
a89,1.4728807291245851
a90,1.169663832756294
a91,3.6010866862291775
a92,18.304613800562056
a93,63.26601609259673
a94,0.771784288930674
a95,0.7712946560982256
a96,11.917280831281197
a97,14.001935749148428
a98,20.848141069999325
a99,3.98221789828765
a100,7.018674218700204
a101,2.6783324169779057
a102,3.915246886746946
a103,32.09309213050442
a104,0.05807666044085802
a105,0.5141335683194763
a106,0.031499583271451394
a107,2.6198650115343263
a108,0.3075935856505055
a109,5.986556718360165
a110,18.409468534967864
a111,0.03517926021028707
a112,0.18141109495530164
a113,14.564654747137693
a114,3.105214467937447
a115,2.5519851706786536
a116,0.44240058566944046
a117,8.725873356678052
a118,0.4828844885733699
a119,10.391402477751807
a120,3.453553917969679
a121,1.5971277006747397
a122,1.51634408123875
a123,3.9390983453568995
a124,2.429116219525921
a125,33.552002120492546
a126,10.755787510929062
a127,36.86545130868887
a128,2.479283073087139
a129,0.07049892061642879
a130,3.608459127060816
a131,2.8043150450832477
a132,2.9918201892494944
a133,33.3908156160075
a134,15.049966775522355
a135,1.1251042830235842
a136,0.2565548106221301
a137,9.876835975107992
a138,1.48620009537811
a139,11.253367080583558
a140,8.963386048450582
a141,16.701732746024053
a142,19.218322864882808
a143,0.05162963230737816
a144,3.5670802280799943
a145,3.686594981777171
a146,4.084377508281024
a147,13.86145227562676
a148,6.634916699040134
a149,11.727903475884391
a150,11.605658231861291
a151,1.5988185060881246
a152,1.6286808327585753
a153,1.1537087006063853
a154,0.16586953270871857
a155,4.6734780093074715
a156,6.655032669145427
a157,6.789086739819273
a158,9.459212767982514
a159,0.4094902290086819
a160,4.3044523677084445
a161,5.537440387795702
a162,10.979159784946308
a163,31.706313773963892
a164,46.33828726907599
a165,2.6942487393995016
a166,31.263032835466923
a167,2.2359519800114893
