,value
a2,0.0
a3,0.0
a4,0.0
a5,0.0
a6,0.0
a7,0.0
a8,0.0
a9,0.0
a10,0.0
a11,0.0
a12,0.0
a13,0.0
a14,0.0
a15,0.0
a16,0.0
a17,0.0
a18,0.0
a19,0.0
a20,0.0
a21,0.0
a22,0.0
a23,0.0
a24,0.0
a25,0.0
a26,0.0
a27,0.0
a28,0.0
a29,0.0
a30,0.0
a31,0.0
a32,0.0
a33,0.0
a34,0.0
a35,0.0
a36,0.0
a37,0.054191699519999574
a38,0.034067944406575346
a39,0.0
a40,0.0
a41,0.0
a42,0.0
a43,0.0
a44,0.0
a45,0.0
a46,0.0
a47,0.0
a48,0.0
a49,0.0
a50,0.0
a51,0.0
a52,0.0
a53,0.0
a54,0.0
a55,0.0
a56,0.0
a57,0.0
a58,0.0
a59,0.0
a60,0.0
a61,0.0
a62,0.0
a63,0.0
a64,0.0
a65,0.0
a66,0.0
a67,0.0
a68,0.0
a69,0.0
a70,0.0
a71,0.0
a72,0.0
a73,0.0
a74,0.0
a75,0.0
a76,0.0
a77,0.0
a78,0.0
a79,0.0
a80,0.0
a81,0.0
a82,0.0
a83,0.0
a84,0.020768384987547753
a85,0.0
a86,0.0
a87,0.0
a88,0.0
a89,0.0
a90,0.0
a91,0.0
a92,0.0
a93,0.022023863576122744
a94,0.0
a95,0.0
a96,0.0
a97,0.0
a98,0.0
a99,0.0
a100,0.0
a101,0.0
a102,0.0
a103,0.0
a104,0.0
a105,0.0
a106,0.0
a107,0.0
a108,0.0
a109,0.0
a110,0.0
a111,0.0
a112,0.0
a113,0.0
a114,0.0
a115,0.0
a116,0.0
a117,0.0
a118,0.0
a119,0.0
a120,0.0
a121,0.0
a122,0.0
a123,0.0
a124,0.0
a125,0.0
a126,0.0
a127,0.0
a128,0.0
a129,0.0
a130,0.0
a131,0.0
a132,0.0
a133,0.0
a134,0.0
a135,0.0
a136,0.0
a137,0.0
a138,0.0
a139,0.0
a140,0.0
a141,0.0
a142,0.0
a143,0.0
a144,0.0
a145,0.0
a146,0.0
a147,0.0
a148,0.00027743436121126474
a149,0.0
a150,0.0
a151,0.0
a152,0.0
a153,0.0
a154,0.0
a155,0.0
a156,0.0
a157,0.0
a158,0.0
a159,0.0
a160,0.0
a161,0.0
a162,0.0
a163,0.009972353970274992
a164,0.041712946030436
a165,0.0
a166,0.0
a167,0.0
