,value
a2,0.018180979366083146
a3,-0.02112610475153857
a4,-0.006445667523609601
a5,-0.020173485655356822
a6,-0.011333905489182823
a7,0.005695102850128114
a8,-0.0009036869944906176
a9,0.016992677269983023
a10,-0.004690366355648479
a11,-0.008396438625061951
a12,-0.004884618233682824
a13,-0.013533914447981884
a14,0.003154578772524739
a15,-0.01574480605303533
a16,0.012819386717844584
a17,-0.0034311209473767766
a18,0.02153700062610771
a19,-0.0016179686868046986
a20,0.004065259148862968
a21,0.0033512929804618806
a22,-0.004031247057379162
a23,0.00030012041364536776
a24,-0.01737538919703339
a25,-0.0012203639600697033
a26,-0.0029456367500636637
a27,-0.013926631672726796
a28,0.023262748893838475
a29,0.006031016056956452
a30,-0.011264418808739329
a31,-0.007192025726601709
a32,-0.011358542330310402
a33,0.009744940294673026
a34,-0.01213332544807506
a35,0.008124462749149337
a36,0.005348494578818877
a37,-0.020143675241182196
a38,-0.007237374569843588
a39,0.012733561084427466
a40,0.015356861636175351
a41,-0.005335720723772887
a42,0.007573905961472516
a43,-0.011862823324942292
a44,0.011946992837850407
a45,-0.006171561069858214
a46,0.00822628113025625
a47,0.009272861951358966
a48,-0.014783292732061451
a49,0.0038209856767303153
a50,-0.010145787336030108
a51,0.012563333036953894
a52,0.017480219027288624
a53,0.016240621987932163
a54,0.012440867344926571
a55,0.004882497907171333
a56,0.0038534997901470067
a57,0.01828982455284315
a58,-0.01447242604742694
a59,0.0010877053810648468
a60,0.012157643951441052
a61,-0.01181140139248789
a62,-0.00462674588963157
a63,-0.002104120067942345
a64,0.013431463854642462
a65,0.0009478974931211221
a66,0.010009083956961444
a67,0.010353900404725561
a68,0.00391641936384442
a69,0.006385460303304708
a70,0.005042437250627988
a71,-0.018248058469576615
a72,6.374840072681864e-05
a73,0.000954690463802788
a74,-0.005547781774055975
a75,-0.0025373130790369743
a76,-0.011645922173898789
a77,0.008783342865047283
a78,-0.014248159764222647
a79,0.01996556316000828
a80,0.0014536017056401116
a81,0.0017595990373939067
a82,-0.005925620555093044
a83,-0.0011849199444767511
a84,0.020615182891410674
a85,0.0028785111664688516
a86,0.007985545003157216
a87,-0.007002152893356672
a88,-0.01063356005116862
a89,-0.01773221625764448
a90,0.008770703397858882
a91,0.008278484071361315
a92,0.0011780656022512483
a93,-0.0028892687601745374
a94,-0.0033883654250030093
a95,0.0016621089164767324
a96,-0.02034663898172525
a97,-0.008766871977236
a98,-0.013620141442026404
a99,-0.014559864822939687
a100,-0.0005757389361184281
a101,-0.008759089538682365
a102,0.0034866341572625764
a103,0.008147128658546469
a104,0.016199394008173326
a105,-0.009370672946963605
a106,-0.010762296138039668
a107,-0.011928177651990838
a108,0.0026609881389291976
a109,-0.0038038183462431826
a110,-0.011332639243785475
a111,0.006147861170593449
a112,-0.014080947037235473
a113,-0.008306242714635056
a114,0.00794524521186579
a115,0.009926316307106994
a116,0.0044207101004229855
a117,0.0006689051972972905
a118,0.00356991417763272
a119,0.026505809543566832
a120,0.003534730965292439
a121,-0.016373428919099618
a122,0.0061392467742917315
a123,0.004437112956656975
a124,-0.015920373504919354
a125,0.02434361664279713
a126,0.0009404214593102755
a127,-0.002002551943106459
a128,0.0008096296845803494
a129,0.0035186350497591963
a130,0.0031490656228091653
a131,0.012708695930028428
a132,-0.0050462209959421635
a133,-0.0020136847612396928
a134,0.006719159065758497
a135,-0.009482529494180592
a136,0.01523539341095892
a137,-0.019134599078685786
a138,-0.0020169161275943263
a139,-0.00677320115749948
a140,-0.0034513478826870628
a141,-0.006739278748583626
a142,0.002385546275618895
a143,0.010250002987543588
a144,0.00920355645182487
a145,0.004780744192208256
a146,0.0020464106531036014
a147,-0.0026512568041824262
a148,-0.011128670324038232
a149,0.0020797354455820796
a150,0.01517967243726368
a151,-0.0013292923273646945
a152,-0.015594799683240904
a153,-0.002042406600516022
a154,0.014601425621249603
a155,0.012183635878140676
a156,-0.017204311853658682
a157,0.007149553937080262
a158,-0.005369731407364659
a159,-0.007353936297491604
a160,0.0032259714787712234
a161,0.0154814242626449
a162,-0.011290198591566405
a163,-0.007107751216643984
a164,-0.015800212956168843
a165,-0.002077798541006357
a166,0.001688088611945645
a167,0.0028367621023395882
