,value
a2,0.04173389712497988
a3,0.040277247018136286
a4,0.17139788763756747
a5,0.11387466879089136
a6,0.037862666971229864
a7,0.1132308809558662
a8,0.08582953040418406
a9,0.09020421010962787
a10,0.04945812609395683
a11,0.09251912899216075
a12,0.027232557529347057
a13,0.10515071725492975
a14,0.06108941464104256
a15,0.07652451810431682
a16,0.035331169733605394
a17,0.0
a18,0.09036596078721004
a19,0.015985222672338706
a20,0.07440504435623518
a21,0.10234710574738481
a22,0.09526396779852542
a23,0.13352871231941688
a24,0.12416060885191005
a25,0.0348218914582501
a26,0.08379127552966015
a27,0.09315905462200691
a28,0.09485687684159294
a29,0.04231196614044341
a30,0.13864780556775513
a31,0.06816265164393931
a32,0.011264956200478293
a33,0.12965692436327325
a34,0.08760107154955166
a35,0.05751980767732623
a36,0.10531764684495992
a37,0.12740132230805146
a38,0.09587585832623757
a39,0.13541876218865934
a40,0.08091148032174833
a41,0.08104820946325031
a42,0.0976689496119858
a43,0.12867618466277886
a44,0.09789388700170298
a45,0.04413381223308632
a46,0.028228854482810206
a47,0.04572500455675055
a48,0.1027324550771318
a49,0.06070283420041234
a50,0.06885810906411627
a51,0.0932187384562746
a52,0.07027829992802537
a53,0.05952939716544425
a54,0.044489027183310714
a55,0.0016572922572068993
a56,0.11516403640207074
a57,0.07194522990984198
a58,0.0725635969186238
a59,0.08059577695133524
a60,0.0991795245024063
a61,0.07066310115545438
a62,0.03404579665331475
a63,0.0873445534029762
a64,0.11340782117438186
a65,0.07274899354978892
a66,0.12169240127739367
a67,0.0653719418789902
a68,0.05373099647373869
a69,0.1469533431127612
a70,0.08551056091089637
a71,0.11634588270623891
a72,0.12172514266603884
a73,0.0475118533654626
a74,0.06441843983978313
a75,0.030131128436152288
a76,0.031858975162502245
a77,0.037347287235147464
a78,0.09516555000161886
a79,0.0057622301844664214
a80,0.08993200773877663
a81,0.10726009445142815
a82,0.10858451278891312
a83,0.08740520674988561
a84,0.11662405350578964
a85,0.08938897459594464
a86,0.14577429442720868
a87,0.0859951041397844
a88,0.12330937342016068
a89,0.061278160036084106
a90,0.12198065112128242
a91,0.05349758638650637
a92,0.06353600986619568
a93,0.09657147870751648
a94,0.05314519965901243
a95,0.07760701882669774
a96,0.11320365612898464
a97,0.08789809301533635
a98,0.13370416437915322
a99,0.13329731712976245
a100,0.09857880194905433
a101,0.045089643295514126
a102,0.10628124727738886
a103,0.06257589640611005
a104,0.07430645221877175
a105,0.08112715597376141
a106,0.022927545184454612
a107,0.013415108471585224
a108,0.023080032605771628
a109,0.10281552672776928
a110,0.023924013766438712
a111,0.08996283741424138
a112,0.10891270329868741
a113,0.12193077102383842
a114,0.1409738611758682
a115,0.14223153592664772
a116,0.09768780472983707
a117,0.05702577706371681
a118,0.08204444206542227
a119,0.08963172666669439
a120,0.07366712061983494
a121,0.05692468825113406
a122,0.09989288082701808
a123,0.10266482691643275
a124,0.11516857706730521
a125,0.08327191441536486
a126,0.05346540301380176
a127,0.09973778668685784
a128,0.09968498063956677
a129,0.09104237239457413
a130,0.06395924997008051
a131,0.14136290034017684
a132,0.11929557114839118
a133,0.07749334295820076
a134,0.056860033651200625
a135,0.10090403699914585
a136,0.067034917555304
a137,0.12570150701754024
a138,0.09136819324313272
a139,0.11779042599574985
a140,0.08392391996584747
a141,0.08905339323153316
a142,0.08843355464681046
a143,0.08532735942023018
a144,0.06873721606136463
a145,0.1024310343714867
a146,0.0
a147,0.1001173168519931
a148,0.046883344010176575
a149,0.12286465335508012
a150,0.06271100959082632
a151,0.07147588402958016
a152,0.1045685873384532
a153,0.10295152734351509
a154,0.10007375792984896
a155,0.1095568523154129
a156,0.1266230390454326
a157,0.07007950810339003
a158,0.005335512356291039
a159,0.0688515388369575
a160,0.039690602515896733
a161,0.11241703484996535
a162,0.08470279144142112
a163,0.11788855571881207
a164,0.05916603288990818
a165,0.021696041508449948
a166,0.10250978857210291
a167,0.13712492380921182
