,value
a2,0.004481232452786351
a3,0.00285376948838824
a4,0.010468170545655806
a5,0.008121813213847728
a6,0.0007926636314579288
a7,0.008928374096608255
a8,0.0029263175806974306
a9,0.0046421895819338845
a10,0.0038562960291078953
a11,0.0091390291465888
a12,0.004222492773753603
a13,0.009373989695657397
a14,0.004629280431574468
a15,0.0038986733553424135
a16,0.004590729060277913
a17,0.0030022244898980804
a18,0.003699728758473725
a19,0.003185444260916293
a20,0.0086497460050197
a21,0.004530795998542302
a22,0.010653784654742694
a23,0.003787474599838492
a24,0.006294618880664809
a25,0.0027310668594498627
a26,0.004657009351680278
a27,0.004038500865956014
a28,0.0038930958922868204
a29,0.002373737334183634
a30,0.005122618612696336
a31,0.0031959861045926376
a32,0.004491000440470677
a33,0.004573398688039906
a34,0.003701449247595977
a35,0.003775491501815061
a36,0.0060803924236178105
a37,0.020692188710078285
a38,0.01410607160684293
a39,0.0033974421494519023
a40,0.005276545931483157
a41,0.003930530537181409
a42,0.0029983460686823886
a43,0.008971486038040353
a44,0.01105738794762662
a45,0.005095779258454772
a46,0.0049558389062512274
a47,0.0020800225370271206
a48,0.00409187207802075
a49,0.004039649000465997
a50,0.003115173126055854
a51,0.007638595557299909
a52,0.0062184381677499925
a53,0.005355620246691843
a54,0.0027262462835947942
a55,0.004240577356250063
a56,0.007817061664407928
a57,0.0011791721140802537
a58,0.00279268502225565
a59,0.005796361808251645
a60,0.010822922056902965
a61,0.005078081279593828
a62,0.004472575487136722
a63,0.0014687931012369075
a64,0.001913712508320912
a65,0.003510636940689106
a66,0.006290123178884554
a67,0.00249250487834216
a68,0.00556420020950923
a69,0.009339641913265194
a70,0.0031026485385429433
a71,0.012506041480387354
a72,0.0037086907722833277
a73,0.0025559029428478186
a74,0.0033978321930518474
a75,0.003809218425639999
a76,0.0033021499692453783
a77,0.005605069523654071
a78,0.003902981766667194
a79,0.0023289984935916143
a80,0.014155266504116781
a81,0.007592959230011529
a82,0.0027424142614075383
a83,0.007125334366689564
a84,0.014726587351940507
a85,0.010309040791760591
a86,0.006433092911745954
a87,0.01028226928624258
a88,0.0028063893372488337
a89,0.006359957211362118
a90,0.006569481121111129
a91,0.005016758486707454
a92,0.0030412334551934363
a93,0.026935128562383493
a94,0.003298823516276252
a95,0.006549604710329151
a96,0.004261458811769576
a97,0.0069306220973079525
a98,0.01220425059109322
a99,0.0024612210363411423
a100,0.003579316970866993
a101,0.0009509513279836258
a102,0.00339270811882229
a103,0.021437894413323572
a104,0.004632106453532657
a105,0.006711734446605738
a106,0.004367986182929268
a107,0.0037478682957114277
a108,0.004894016980164345
a109,0.0032314313830232397
a110,0.01137831892443697
a111,0.007167400584333252
a112,0.003764197034498356
a113,0.0074327864446551714
a114,0.002991624338726319
a115,0.005343001096086981
a116,0.006008377780256603
a117,0.009342342042134615
a118,0.0036589280096988403
a119,0.0041808970508175345
a120,0.004974503006056773
a121,0.004758680483109787
a122,0.0037900294072959733
a123,0.0037739635210595817
a124,0.003768127521752826
a125,0.013456808179615814
a126,0.004316202310671395
a127,0.016686198221963086
a128,0.009870229372730337
a129,0.00831267458751498
a130,0.008444255516688086
a131,0.00760651784528197
a132,0.00433919944373555
a133,0.01114756610013065
a134,0.00882277034059112
a135,0.005381914249594294
a136,0.003662253434262501
a137,0.0129085810691283
a138,0.0028759840412436615
a139,0.006659626275549283
a140,0.003156186320642832
a141,0.00760809389721578
a142,0.010186297120150395
a143,0.004138749146622508
a144,0.006668106343734179
a145,0.006163650901885198
a146,0.003174005040334581
a147,0.005582011869723799
a148,0.006272676113767775
a149,0.009405355588383598
a150,0.010620753841285534
a151,0.0027970784563067217
a152,0.004783167365022959
a153,0.006001177049904732
a154,0.0026833482230634764
a155,0.0017744592203575694
a156,0.005789881129696441
a157,0.002634207649836308
a158,0.0029752411189511705
a159,0.005662738029403227
a160,0.0016356814052810793
a161,0.006437117314900197
a162,0.005002942184683563
a163,0.018356286101052853
a164,0.016042586557119053
a165,0.0018178863921541305
a166,0.0073421040303382305
a167,0.003607941310362349
