,value
a2,0.017745299558672413
a3,0.03538819568231332
a4,0.037119064493267157
a5,0.04722411023232827
a6,-0.0018706355781749322
a7,0.036436449579831914
a8,0.011840751925770315
a9,0.02235665149114538
a10,0.012833515369012343
a11,0.03321545749774013
a12,0.02937325742361912
a13,0.03008990952702921
a14,0.036817352239225026
a15,0.02182072829131654
a16,0.01986347384482246
a17,0.0059832694407068
a18,0.021487394957983158
a19,0.015600719223387812
a20,0.027597969881021717
a21,0.01985171975767051
a22,0.021180212975878625
a23,0.015338650430231967
a24,0.01794269744096732
a25,0.03851082317743855
a26,0.022336181663676687
a27,0.011742400663969296
a28,0.02388284042898927
a29,0.00733335134696967
a30,0.02638877981098983
a31,0.030232214244921275
a32,0.017960820691913133
a33,0.03552434672499135
a34,0.019412254697797483
a35,0.041403227957849856
a36,0.02398687934703907
a37,0.035404125286478225
a38,0.03666571891914659
a39,0.015059553233057923
a40,0.039755462184873906
a41,0.020966386554621828
a42,0.034247559317844754
a43,0.02512414056531705
a44,0.03859870745683896
a45,0.0248464008244807
a46,0.02872843874391862
a47,0.031162001224330767
a48,0.013956818682529232
a49,0.018245237026108137
a50,0.021580168815855963
a51,0.03449648853381186
a52,0.029302305931513388
a53,0.013495369819315813
a54,0.010557154368596753
a55,0.029829484241248934
a56,0.03203442667389536
a57,0.018086444557032802
a58,0.01392662328089131
a59,0.03020921171236662
a60,0.028816526610644252
a61,0.03141145347027696
a62,0.03282791377420529
a63,0.019141053160394588
a64,0.01678677057415145
a65,0.031398746548979305
a66,0.043918578667421986
a67,0.016735228122662666
a68,0.0017626443100604656
a69,0.03096507724902994
a70,0.04059579584046009
a71,0.029720471521942113
a72,0.03313932576921818
a73,0.024077493900786125
a74,0.026934620001846876
a75,0.026570961718020532
a76,0.024303186621183113
a77,0.005673936241163144
a78,0.012986686116989592
a79,0.020814208036155628
a80,0.034406671759612914
a81,0.03012067617744771
a82,0.0112078164599173
a83,0.010887262513701113
a84,0.034251539515609775
a85,0.039094291011533555
a86,0.03453574022201475
a87,0.011617809077358453
a88,0.024877614597240753
a89,0.028750462449130668
a90,0.029190946451573316
a91,0.031962019146405674
a92,0.031283215989098355
a93,0.04309081921538668
a94,0.025832027726344763
a95,0.03408071561958119
a96,0.030705733620881987
a97,0.05023595645154612
a98,0.04149391800919266
a99,0.010283749863581788
a100,0.041847083661050645
a101,0.010855957767722468
a102,0.034510179910890525
a103,0.03766834548388894
a104,0.025265820613959853
a105,0.022856636630555847
a106,0.021385050183756374
a107,0.018283622461860292
a108,0.007678012033215671
a109,0.01978687127024721
a110,0.023871950627826172
a111,0.03324821307833478
a112,0.024530299924847974
a113,0.021165418150558765
a114,0.013788362060152517
a115,0.015613376498140239
a116,0.03220467390496026
a117,0.03906366646886552
a118,0.024843063717133636
a119,0.012832127070481382
a120,0.01240113692535838
a121,0.02430725831409052
a122,0.024810534293292916
a123,0.026011435502035867
a124,0.026621746259479398
a125,0.0469593444854577
a126,0.033188275310124
a127,0.03673568875063834
a128,0.03825537567968365
a129,0.032975838037622066
a130,0.042333743842364505
a131,0.035432525951557096
a132,0.03991327300150825
a133,0.034919354838709706
a134,0.02111428908912963
a135,0.025736885663356256
a136,0.019537815126050417
a137,0.03268630805615657
a138,0.01400234512409615
a139,0.03768663428674225
a140,0.014087119222689067
a141,0.022625581672831407
a142,0.0283609496430151
a143,0.016770261823737732
a144,0.009708600421300593
a145,0.01173550991393537
a146,0.0007014570534095978
a147,0.00966931441164362
a148,0.009796809348739482
a149,0.030697353568293007
a150,0.02501375550220089
a151,0.024883734315644068
a152,0.032914873266379735
a153,0.0324673955603747
a154,0.02469047180000532
a155,0.019943977591036402
a156,0.023633080683253663
a157,0.01629235565193818
a158,0.00997070583958773
a159,0.030185255920550026
a160,0.030697048049989233
a161,0.02615940126050422
a162,0.053382962683754226
a163,0.04370374165926536
a164,0.039631133352217296
a165,0.012038084464555048
a166,0.040981833910034585
a167,0.022893685161360953
