,value
a0,0.0
a1,0.0
a2,0.0
a3,0.07275654124446443
a4,0.0
a5,0.0
a6,0.0
a7,0.030909259775239156
a8,0.018989745057491726
a9,0.0
a10,0.0
a11,0.2664596300451622
a12,0.0
a13,0.015454629887619574
a14,0.0
a15,0.0
a16,0.0
a17,0.0
a18,0.0
a19,0.023219095384043827
a20,0.0
a21,0.020928144639484846
a22,0.0
a23,0.029697131940916048
a24,0.0
a25,0.0
a26,0.07935848690697536
a27,0.012955518110157277
a28,0.009659143679762236
a29,0.027474897577990365
a30,0.03858995441772885
a31,0.0
a32,0.0
a33,0.0177084300795641
a34,0.017588097313183254
a35,0.03311706404489909
a36,0.03924985368284337
a37,0.0
a38,0.0
a39,0.0
a40,0.0
a41,0.0
a42,0.0
a43,0.0
a44,0.0
a45,0.06285457636440073
a46,0.0
a47,0.0
a48,0.056631201648383755
a49,0.01717181098624397
a50,0.0
a51,0.0
a52,0.0
a53,0.041612781455110145
a54,0.0
a55,0.0
a56,0.0
a57,0.06761400575833565
a58,0.0
a59,0.0
