,value
a0,14.343127853379674
a1,9.319887844849822
a2,8.3924118922096
a3,16.877228093209308
a4,14.606312453756368
a5,9.60392485759814
a6,4.47440753633086
a7,12.296226839837153
a8,32.94341752497141
a9,33.47567559902308
a10,48.861470905547954
a11,36.4796173979032
a12,25.90400421722286
a13,8.140057708200876
a14,1.7539149874610973
a15,0.6128315153637092
a16,0.4346665663959316
a17,0.2143733221249728
a18,3.7002479683127576
a19,9.439988223649989
a20,12.903722884190884
a21,7.989382567363853
a22,4.533349203739352
a23,1.9006642892483425
a24,0.11839412667591455
a25,0.18950812067329956
a26,1.7732738273015611
a27,3.853557046568541
a28,0.5059035676602894
a29,0.02999668056807338
a30,3.794116922370703
a31,1.1530470297368844
a32,1.9940407916998046
a33,5.0381762450395895
a34,12.369196856970806
a35,16.867427597340946
a36,10.140733239336535
a37,0.13566324495110518
a38,2.0863925977278703
a39,0.0029449406757298432
a40,0.3702564597558831
a41,5.168585297180016
a42,12.271913266347259
a43,14.10755840739005
a44,18.438835124818105
a45,21.630262275758273
a46,24.091520068235663
a47,26.305013091155786
a48,33.0631664104204
a49,9.172814466330774
a50,24.570970074211402
a51,21.85809436828003
a52,3.1701935651293742
a53,2.8615513867321267
a54,0.006347864779484698
a55,2.2741632203121247
a56,0.014700608346323337
a57,5.9868536115981845
a58,1.8440098784168286
a59,0.09223191783885916
