,value
a0,0.0
a1,0.0
a2,0.0
a3,0.0
a4,0.0
a5,0.0
a6,0.0
a7,0.0
a8,0.0
a9,0.0
a10,0.08904924360521732
a11,0.015881856981613072
a12,0.0
a13,0.0
a14,0.0
a15,0.0
a16,0.0
a17,0.0
a18,0.0
a19,0.0
a20,0.0
a21,0.0
a22,0.0
a23,0.0
a24,0.0
a25,0.0
a26,0.0
a27,0.0
a28,0.0
a29,0.0
a30,0.0
a31,0.0
a32,0.0
a33,0.0
a34,0.0
a35,0.04156107741665975
a36,0.0
a37,0.0
a38,0.0
a39,0.0
a40,0.0
a41,0.0
a42,0.0
a43,0.0
a44,0.038668924158708665
a45,0.0
a46,0.0
a47,0.0
a48,0.04293108173677688
a49,0.0
a50,0.0
a51,0.011082224285230627
a52,0.0
a53,0.0
a54,0.0
a55,0.0
a56,0.0
a57,0.0
a58,0.0
a59,0.0
