,value
a0,-0.48439044373490314
a1,-0.398235928850906
a2,-0.01624866290856215
a3,-1.0600891117482831
a4,-0.6965258294440863
a5,-0.15480323523756753
a6,0.7305214884793297
a7,0.7887451327205761
a8,-0.7619031454138557
a9,-0.3863656208375644
a10,-1.626390058603367
a11,-1.0288607860093968
a12,-0.24319074494407278
a13,0.18189842936265269
a14,0.10444852703093745
a15,0.4883966195210944
a16,0.42973879257337605
a17,-0.10917149283008562
a18,-0.12776277188447213
a19,-0.18989958675224342
a20,-0.1888586218034311
a21,-0.2554581056913238
a22,-0.1984540172245616
a23,-0.7522085538455887
a24,0.4996907004013646
a25,0.22105580400702973
a26,-0.14902321618993405
a27,-0.08348740881671421
a28,-0.02104045243728238
a29,-0.8355769036499711
a30,1.7201094758058733
a31,-0.6385202485351097
a32,-0.13605571866744717
a33,0.49843490283716846
a34,-0.19341190654503632
a35,0.8117436789997929
a36,0.8325261441479612
a37,-0.401619004088163
a38,-0.644858998912454
a39,1.1048692282736128
a40,-0.07831903161747157
a41,-0.24528004918101087
a42,-0.625569318760112
a43,-0.7515821698506682
a44,-1.067779075467313
a45,-0.5510441167568605
a46,-0.6110760212621931
a47,-1.435324915652221
a48,-1.031478097221628
a49,0.19594877138821953
a50,-0.3330303122579132
a51,-0.310078903838227
a52,-0.13576045634674683
a53,-0.19686713972998363
a54,0.031335264468802936
a55,-0.042360059703631305
a56,0.07649310159806008
a57,-0.1681083598649348
a58,-0.19235399393057123
a59,-0.08176615795663217
