,value
a0,0.03341937579649623
a1,0.00820867345489229
a2,0.008481156389913869
a3,0.012771293414779228
a4,0.019630942925022987
a5,0.0
a6,0.022284367068124755
a7,0.05641163313975217
a8,0.07864836223284688
a9,0.07960906597024509
a10,0.12935791664312268
a11,0.1433863207907593
a12,0.031178839757920462
a13,0.0
a14,0.046169176169279735
a15,0.04331501910839175
a16,0.04177036984739679
a17,0.0
a18,0.0
a19,0.05459801882892901
a20,0.05874073854008732
a21,0.03503203606579364
a22,0.0381974183990208
a23,0.018824563689627816
a24,0.04528067968901284
a25,0.0
a26,0.0
a27,0.0027071685347435093
a28,0.03737034849114296
a29,0.028356993693635424
a30,0.0
a31,0.007953130101847838
a32,0.045718505045531765
a33,0.0
a34,0.0
a35,0.04198705046763451
a36,0.06429828216473066
a37,0.02913214002166664
a38,0.05735844096431397
a39,0.024628642089860042
a40,0.0
a41,0.0
a42,0.032500059495355504
a43,0.017352737680748298
a44,0.023705898174597895
a45,0.07128660064053127
a46,0.03269393416957511
a47,0.08375931884080368
a48,0.11447241769129857
a49,0.0036842705834125855
a50,0.0
a51,0.015706515529233078
a52,0.0
a53,0.0
a54,0.04079334206748397
a55,0.0
a56,0.0
a57,0.06657657129740446
a58,0.01927243312788174
a59,0.04539133488663061
