,value
a0,0.013154182256331118
a1,0.009802978746675557
a2,0.008849762239556318
a3,0.012834426710825622
a4,0.012881545902178146
a5,0.013820097657816117
a6,0.00828107207981482
a7,0.009699409964630836
a8,0.03907272636176956
a9,0.03584008713406566
a10,0.0691227935174808
a11,0.06023374319354978
a12,0.02751833106117825
a13,0.016640844966547528
a14,0.014249918569949283
a15,0.018221247164617524
a16,0.020122060783095957
a17,0.014517708034226544
a18,0.014018124451170854
a19,0.019144136202091915
a20,0.01870738163787326
a21,0.012392842518424398
a22,0.012770750963969072
a23,0.008465187644236252
a24,0.008448175737349418
a25,0.006593121436233494
a26,0.010833873009190772
a27,0.018388319440862833
a28,0.00917929755908188
a29,0.009168741202238987
a30,0.01637265466931258
a31,0.008897225985834784
a32,0.01162275472146407
a33,0.0083862776197867
a34,0.015555386935732548
a35,0.025819334736079304
a36,0.020195252781571724
a37,0.009937014652326041
a38,0.010211569955611153
a39,0.01532927025250435
a40,0.006909875807922775
a41,0.00927093202193252
a42,0.014465417106627354
a43,0.011109437952349524
a44,0.033383776480705285
a45,0.018509227037117652
a46,0.02315065337089593
a47,0.03306282552746621
a48,0.03197514182012747
a49,0.010711805759985026
a50,0.01958248074024696
a51,0.02770973096234613
a52,0.010733658822521974
a53,0.011072321209557692
a54,0.009044058846389718
a55,0.00648363601660036
a56,0.006364843785573939
a57,0.005791753980660108
a58,0.009390171733236996
a59,0.005978620560480745
