,value
a0,0.005453327093260724
a1,0.007757426885159417
a2,0.004838174719498635
a3,0.005931544679761513
a4,0.008727979476774806
a5,0.013154936638207259
a6,-0.0013836423992674
a7,0.024278687134254927
a8,0.04802160578204561
a9,0.06114926739926739
a10,0.06800631755172376
a11,0.07316858204076111
a12,0.04108019787179856
a13,0.01178437423152283
a14,0.014147704036358868
a15,0.01869397712505284
a16,0.02122473358679452
a17,0.009388711288711287
a18,0.007793610108595387
a19,0.021387696341543735
a20,0.028094850580490344
a21,0.018360361139729296
a22,0.01565457365036152
a23,0.013951468954158226
a24,0.01842750039407315
a25,0.0194265930676879
a26,0.0187376764689245
a27,0.027730676204199254
a28,0.024076509428071914
a29,0.021091259597971
a30,0.03208048627122197
a31,0.026975301574408517
a32,0.017686279776088654
a33,0.02801496066201947
a34,0.024386019779545402
a35,0.05223877558933
a36,0.03405618681558984
a37,0.015490097663592509
a38,0.017225739551403687
a39,0.012853611530082113
a40,0.02024241681884994
a41,0.021059042453273218
a42,0.021230005769479466
a43,0.03270339474362275
a44,0.04552851807703241
a45,0.03771539674669818
a46,0.033877427353523
a47,0.04314497085723504
a48,0.03812565526346444
a49,0.004645687645687643
a50,0.011582994943303707
a51,0.014466970262262702
a52,0.009463036963036964
a53,0.010330915429599644
a54,0.0017486481772196075
a55,0.002322485207100592
a56,0.00018165428321678805
a57,0.003572214398873436
a58,0.0014595253231616857
a59,0.0048032510214958265
