,value
a0,266.5072768140694
a1,407.1544667721923
a2,509.5732208243886
a3,37.90676412109816
a4,770.0174362327849
a5,467.0607999425177
a6,1237.9998019922732
a7,543.7008943815387
a8,416.03670331399064
a9,405.2804629761466
a10,579.6066476381725
a11,101.40829397235102
a12,208.45425088547654
a13,103.19018181714837
a14,323.4189367351436
a15,1169.2583509321316
a16,572.9010141063505
a17,411.5029615578037
a18,599.8222405982501
a19,483.4459005202923
a20,1157.3284827247091
a21,87.57029889340497
a22,834.0159593048878
a23,1025.4776403204164
a24,735.3215024084616
a25,537.6590633223179
a26,576.2277032722577
a27,235.34615498265637
a28,224.03473158042837
a29,277.9331338517214
a30,192.70065967121033
a31,132.68672204048363
a32,114.20073156488093
a33,114.8753648915443
a34,210.9193363931221
a35,127.98620726493488
a36,312.6546874848265
a37,0.029336238298681414
a38,99.69087141891356
a39,3.6404641667037416
a40,96.09901058337569
a41,176.24824567903516
a42,53.46987010089841
a43,96.09892688938427
a44,23.692726635256044
a45,178.56760482069322
a46,2.3633927749529753
a47,88.91553123645824
a48,14.859157142281749
a49,4.899364999714807
a50,56.908543299491576
a51,1644.1732227570142
a52,1471.727902954638
a53,327.1588794930767
a54,1095.2371839405891
a55,1220.7786400178975
a56,906.7180486528741
