,value
a0,0.013454767246870222
a1,0.014158423242971941
a2,0.019313413642859236
a3,0.015800742877631984
a4,0.05614251519416468
a5,0.03229765908410792
a6,0.08343295476737096
a7,0.03739010965417365
a8,0.02003310155322791
a9,0.009235520891287664
a10,0.010935369877682849
a11,0.022924003105225865
a12,0.0031870487719530298
a13,0.0008961782145113838
a14,0.004659682530865856
a15,0.061687550073814566
a16,0.022823414425564126
a17,0.02881966998500585
a18,0.025103113031375506
a19,0.031158575020845326
a20,0.06362122427370545
a21,0.044816922549981555
a22,0.06125426754624663
a23,0.03957534601959442
a24,0.03821825796557438
a25,0.01880589097407729
a26,0.03988231033865197
a27,0.0
a28,0.0024841117540869285
a29,0.02112751408584705
a30,0.005566603732733573
a31,0.0
a32,0.022666215402698534
a33,0.014223868895405778
a34,0.01466523039251003
a35,0.008213335273236208
a36,0.014242067154874902
a37,0.010680242951101376
a38,0.008181814265158308
a39,0.012975731818863575
a40,0.002755158391916611
a41,0.028671435720123824
a42,0.013481986521698729
a43,0.019475935260392017
a44,0.0347640086777313
a45,0.03363992383158072
a46,0.013866748954619727
a47,0.01574136841952782
a48,0.03267393426622785
a49,0.014271508821208838
a50,0.0056739220846211275
a51,0.055048430750794276
a52,0.05717125147953587
a53,0.010921852107051686
a54,0.007090361483997037
a55,0.012057305046350358
a56,0.04856349474879308
