,value
a0,-0.09037236729171061
a1,-0.0044101525238196175
a2,0.02128029616872359
a3,0.2960365453724133
a4,0.09290398771260577
a5,0.06108756938681405
a6,0.7734051028457813
a7,0.20121323719127712
a8,-0.02551914350968354
a9,-0.0018780992637892886
a10,0.0879041738581825
a11,-0.0284908684986096
a12,-0.06886456449051118
a13,-0.0453657323712119
a14,-0.004731527289704866
a15,0.28908438921595336
a16,0.35524782344774725
a17,0.119610374363373
a18,0.04888297072345515
a19,0.4168715782655492
a20,0.03344743606401695
a21,-0.06533033798105492
a22,0.31821494332207406
a23,0.08002389782879098
a24,-0.3699453697846474
a25,-0.009697494453898404
a26,-0.7862542213388253
a27,0.07519834538964454
a28,-0.4652227868571293
a29,-0.9006733534599539
a30,-0.2976490390450395
a31,-0.07579277661455452
a32,-0.0690350767413651
a33,-0.04213750494529016
a34,-0.5456008850970803
a35,0.1880451322422957
a36,-0.04549377406576538
a37,-0.15813911450920068
a38,-0.29610798602867217
a39,-0.0373691180687347
a40,-0.29197339240986553
a41,-0.6002025820523864
a42,-0.302828813567516
a43,-0.5063681649442529
a44,-0.274909184393897
a45,-0.4115516947062013
a46,-0.4522157925882499
a47,-0.523068811191023
a48,-0.14090456099861176
a49,-0.15903083685667965
a50,-0.291914633349186
a51,0.11882388436129433
a52,1.476842108664551
a53,0.34493421945635483
a54,0.059062497294062974
a55,-0.0008233693950083915
a56,0.00707782013299528
