,value
a0,0.04485430505010002
a1,0.061309787213361444
a2,0.08065480457077356
a3,0.0018604656406644438
a4,0.10316925329260052
a5,0.058310045041708225
a6,0.16240458178901074
a7,0.06581984890375603
a8,0.04208180490544544
a9,0.05474332913886526
a10,0.060117021042403795
a11,0.0506958058043665
a12,0.04705431191463871
a13,0.01628805389077037
a14,0.04394591490734401
a15,0.14232850841334033
a16,0.07557127002496955
a17,0.0408509850850427
a18,0.11313298029204022
a19,0.07456279116078579
a20,0.15811794284647918
a21,0.00819004148897906
a22,0.10311491795963001
a23,0.12197542047655885
a24,0.09584026600502682
a25,0.09309447997352538
a26,0.08910448885159528
a27,0.03830120605061804
a28,0.031568876802860135
a29,0.041936073775890925
a30,0.021191325813386896
a31,0.0163949518578268
a32,0.023893150969273025
a33,0.015431611096236475
a34,0.03158489384823593
a35,0.02638380339738511
a36,0.05061754416281494
a37,0.00807971482922376
a38,0.016688507474639458
a39,0.013624971270957298
a40,0.022071825894967034
a41,0.030989886782249343
a42,0.04573209122380484
a43,0.021998603624470814
a44,0.04945268260116853
a45,0.03853815287433893
a46,0.0005737206854143917
a47,0.016104739651231492
a48,0.017900010036974834
a49,0.05694838693228865
a50,0.023135157338863177
a51,0.19980120775403454
a52,0.18376432251421293
a53,0.040440959200146454
a54,0.1738567739664325
a55,0.1957458869744788
a56,0.1341652992485871
