,value
a0,0.00465637072376218
a1,0.0042672800730873435
a2,0.011466234095273297
a3,0.0009722805342116381
a4,0.028527817294875607
a5,0.010480680948723857
a6,0.08033371272889595
a7,0.016677349450309915
a8,0.003177416969691236
a9,0.006513425611061155
a10,0.006120919985534834
a11,0.010991070438003877
a12,0.003589046253851331
a13,0.0018046255297028892
a14,0.0007148176325777467
a15,0.06316006531146012
a16,0.012875348601593926
a17,0.010517542576481447
a18,0.03323752896455422
a19,0.004556873632174942
a20,0.042028520054059965
a21,0.002579958940748002
a22,0.028412256205686694
a23,0.03253471954735895
a24,0.04305878134168847
a25,0.02335128760436885
a26,0.02131619827649129
a27,0.0056538686267632345
a28,0.0022676497877101407
a29,0.0039542761869427855
a30,0.0013893368733742053
a31,0.0005653943820189011
a32,0.002627554367655443
a33,0.0005828310424809091
a34,0.003515090658437251
a35,0.003646523571856468
a36,0.015743271189178832
a37,0.0005794859988804785
a38,0.0034000843058247113
a39,0.001138327981877788
a40,0.0013917714341270156
a41,0.005657509282429101
a42,0.001695934932402725
a43,0.00187191269348452
a44,0.008706719264024098
a45,0.0169997393266936
a46,0.0001629323995716552
a47,0.0016957640650863998
a48,0.005008402299543966
a49,0.012494551050683663
a50,0.0027348631523676017
a51,0.12227504654237444
a52,0.09550663647194081
a53,0.003149346417428164
a54,0.059749752520434324
a55,0.05691250656151412
a56,0.05100078728666284
