,value
a0,0.005009780482503796
a1,0.00880059261261555
a2,0.005629424123485534
a3,0.0004017996554886024
a4,0.006625038035209764
a5,0.0035625573854840818
a6,0.006160642668733888
a7,0.0025876071632375155
a8,0.007791784394696745
a9,0.0024982850382408487
a10,0.00711231358167181
a11,0.012329094412504602
a12,0.0028999962796963374
a13,0.0020314496848511175
a14,0.005835613967386571
a15,0.004835926972397304
a16,0.006826338446702341
a17,0.0040277033571646725
a18,0.005873830326740562
a19,0.0016746251891000905
a20,0.00812763084611002
a21,0.0036921416778198475
a22,0.009464954766514704
a23,0.0025199565311888623
a24,0.014772592695465934
a25,0.00767754178393809
a26,0.018534328981691797
a27,0.006916155645123312
a28,0.003610650954578742
a29,0.008579213037094859
a30,0.0035426385568354726
a31,0.007883288068541917
a32,0.0019922726895597637
a33,0.00782707997348037
a34,0.0025130406433384062
a35,0.004895809103522192
a36,0.006085917461623332
a37,0.00014796616320946978
a38,0.001082964197310843
a39,0.00913991112637187
a40,0.0022672576963843538
a41,0.0033656061859649263
a42,0.0060100197436070545
a43,0.0006289284938056891
a44,0.00488551285181173
a45,0.0043797833557823705
a46,0.0004980884740544286
a47,0.00024220821560530346
a48,0.0036117774208521873
a49,0.003449492201199631
a50,0.001134779890013567
a51,0.004461214605954211
a52,0.005665844177092799
a53,0.0003933205082547287
a54,0.0015389001364739074
a55,0.0021937866409045418
a56,0.0069077978217295865
